graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,aut_grp_size,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str
154.,FALSE,13,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 1, 5], [3, 1, 5], [4, 1, 5], [2, 4, 0], [3, 4, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [0, 1, 3, 2, 4, 5], [1, 0, 2, 3, 4, 5], [2, 3, 0, 1, 4, 5]]",16.0,"[0, 0, 0, 0, 4, 4]",2,8,0,0,0
155.,FALSE,14,2,5,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 1, 5], [3, 1, 5], [4, 1, 5], [2, 4, 0], [3, 4, 0], [2, 3, 0]]","[(0, 4), (1, 4), (2, 5), (3, 5), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [0, 1, 2, 4, 3, 5], [0, 1, 3, 2, 4, 5], [1, 0, 2, 3, 4, 5]]",48.0,"[0, 0, 2, 2, 2, 2]",2,9,0,0,0
156.,FALSE,15,1,6,TRUE,FALSE,[],0,"[[1, 5, 0], [2, 5, 0], [3, 5, 0], [4, 5, 0], [1, 4, 0], [2, 4, 0], [3, 4, 0], [1, 3, 0], [2, 3, 0], [1, 2, 0]]","[(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [0, 1, 2, 4, 3, 5], [0, 1, 3, 2, 4, 5], [0, 2, 1, 3, 4, 5], [1, 0, 2, 3, 4, 5]]",720.0,"[0, 0, 0, 0, 0, 0]",1,10,0,0,0
15.,TRUE,5,3,2,FALSE,FALSE,"[5, 0]",2,[],"[(0, 2), (1, 1), (2, 1), (3, 1), (4, 1), (5, 4)]","[[0, 1, 3, 2, 4, 5], [0, 2, 1, 3, 4, 5]]",6.0,"[0, 1, 1, 1, 4, 5]",4,0,0,0,0
16.,FALSE,6,2,3,FALSE,FALSE,[5],1,"[[4, 5, 0]]","[(0, 2), (1, 1), (2, 1), (3, 1), (4, 2), (5, 5)]","[[4, 1, 2, 3, 0, 5], [0, 1, 3, 2, 4, 5], [0, 2, 1, 3, 4, 5]]",12.0,"[0, 1, 1, 1, 0, 5]",3,1,0,0,0
18.,TRUE,5,3,2,FALSE,FALSE,"[4, 5]",2,[],"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 3), (5, 3)]","[[0, 1, 3, 2, 4, 5], [1, 0, 2, 3, 4, 5], [2, 3, 0, 1, 5, 4]]",8.0,"[0, 0, 0, 0, 4, 4]",2,0,0,0,0
20.,TRUE,5,4,2,FALSE,FALSE,"[4, 5, 0]",3,[],"[(0, 2), (1, 1), (2, 1), (3, 1), (4, 2), (5, 3)]","[[0, 1, 3, 2, 4, 5]]",2.0,"[0, 1, 2, 2, 4, 5]",5,0,0,0,0
21.,FALSE,6,3,3,FALSE,FALSE,"[4, 5]",2,"[[4, 5, 0]]","[(0, 2), (1, 1), (2, 1), (3, 1), (4, 3), (5, 4)]","[[0, 1, 3, 2, 4, 5]]",2.0,"[0, 1, 2, 2, 4, 5]",5,1,0,0,0
26.,TRUE,6,3,2,FALSE,FALSE,[5],1,"[[4, 1, 5, 0]]","[(0, 2), (1, 2), (2, 1), (3, 1), (4, 2), (5, 4)]","[[1, 0, 2, 3, 4, 5], [0, 1, 3, 2, 4, 5]]",4.0,"[0, 0, 2, 2, 4, 5]",4,0,1,0,0
27.,FALSE,7,2,3,FALSE,FALSE,[5],1,"[[4, 5, 0], [4, 1, 5]]","[(0, 2), (1, 2), (2, 1), (3, 1), (4, 3), (5, 5)]","[[1, 0, 2, 3, 4, 5], [0, 1, 3, 2, 4, 5]]",4.0,"[0, 0, 2, 2, 4, 5]",4,2,0,0,0
