graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str,
56, True ,10,2,2, False , False , [] ,0," [[5, 4, 6, 0], [5, 3, 6, 0], [5, 2, 6, 0], [5, 1, 6, 0]] "," [(0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 5), (6, 5)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 4, 3, 5, 6], [0, 1, 3, 2, 4, 5, 6], [0, 2, 1, 3, 4, 5, 6], [1, 0, 2, 3, 4, 5, 6]] ",240," [0, 0, 0, 0, 0, 5, 5] ",2,0,4,0,0,0,"
"
571, False ,11,3,4, False , False , [6] ,1," [[3, 6, 0], [4, 6, 0], [3, 5, 0], [4, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 1), (2, 1), (3, 4), (4, 4), (5, 3), (6, 5)] "," [[0, 1, 2, 4, 3, 5, 6], [3, 1, 2, 0, 4, 5, 6], [0, 2, 1, 3, 4, 5, 6]] ",12," [0, 1, 1, 0, 0, 5, 6] ",4,5,0,0,0,0,"
"
572, False ,12,2,5, False , False , [6] ,1," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [3, 5, 0], [4, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 1), (2, 1), (3, 4), (4, 4), (5, 4), (6, 6)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 1, 2, 4, 3, 5, 6], [3, 1, 2, 0, 4, 5, 6], [0, 2, 1, 3, 4, 5, 6]] ",48," [0, 1, 1, 0, 0, 0, 6] ",3,6,0,0,0,0,"
"
573, False ,12,3,5, False , False ," [5, 6] ",2," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [3, 5, 0], [4, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 1), (2, 1), (3, 4), (4, 4), (5, 5), (6, 5)] "," [[0, 1, 2, 4, 3, 5, 6], [3, 1, 2, 0, 4, 5, 6], [0, 2, 1, 3, 4, 6, 5]] ",12," [0, 1, 1, 0, 0, 5, 5] ",3,6,0,0,0,0,"
"
575, False ,12,3,4, False , False , [6] ,1," [[3, 6, 0], [4, 6, 0], [5, 1, 6, 0], [3, 5, 0], [4, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 2), (2, 1), (3, 4), (4, 4), (5, 4), (6, 5)] "," [[0, 1, 2, 4, 3, 5, 6], [3, 1, 2, 0, 4, 5, 6]] ",6," [0, 1, 2, 0, 0, 5, 6] ",5,5,1,0,0,0,"
"
576, False ,13,2,5, False , False , [6] ,1," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [5, 1, 6], [3, 5, 0], [4, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 2), (2, 1), (3, 4), (4, 4), (5, 5), (6, 6)] "," [[0, 1, 2, 4, 3, 5, 6], [3, 1, 2, 0, 4, 5, 6]] ",6," [0, 1, 2, 0, 0, 5, 6] ",5,7,0,0,0,0,"
"
577, False ,12,3,4, False , False , [5] ,1," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [5, 1, 6], [3, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 2), (2, 1), (3, 4), (4, 3), (5, 5), (6, 5)] "," [[3, 1, 2, 0, 4, 5, 6]] ",2," [0, 1, 2, 0, 4, 5, 6] ",6,6,0,0,0,0,"
"
578, False ,12,2,3, False , False , [] ,0," [[4, 6, 0], [5, 6, 0], [5, 2, 6], [5, 1, 6], [3, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 2), (2, 2), (3, 3), (4, 3), (5, 5), (6, 5)] "," [[0, 2, 1, 3, 4, 5, 6], [0, 1, 2, 4, 3, 6, 5]] ",4," [0, 1, 1, 3, 3, 5, 5] ",4,6,0,0,0,0,"
"
579, False ,12,3,4, False , False , [] ,0," [[3, 6, 0], [5, 6, 0], [5, 2, 6], [5, 1, 6], [3, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 2), (2, 2), (3, 4), (4, 2), (5, 5), (6, 5)] "," [[0, 1, 2, 3, 4, 6, 5], [3, 1, 2, 0, 4, 5, 6], [0, 2, 1, 3, 4, 5, 6]] ",8," [0, 1, 1, 0, 4, 5, 5] ",4,6,0,0,0,0,"
"
57, False ,11,2,3, False , True , [] ,0," [[5, 6, 0], [5, 4, 6], [5, 3, 6], [5, 2, 6], [5, 1, 6]] "," [(0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 6), (6, 6)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 4, 3, 5, 6], [0, 1, 3, 2, 4, 5, 6], [0, 2, 1, 3, 4, 5, 6], [1, 0, 2, 3, 4, 5, 6]] ",240," [0, 0, 0, 0, 0, 5, 5] ",2,5,0,0,0,0,"
"
